1873666693,0,169,False,体育館,FALSE
1873666694,0,35,False,0,体育館
1873666695,0,37,False,adv_ev_00_camera,Camera
1873666696,0,37,False,adv_ev_00_chara,Chara
1873666697,0,117,False,0,Gym
1873666698,0,128,False,0,3,1
1873666699,0,125,False,0,1
1873666700,0,112,False,0,標準
1873666701,0,106,False,0,Stand_01_00
1873666702,0,44,False,Out,,,,none
-1094689688,0,16,False,[P名],「ねぇ、[H名]、さっきから気になってたんだけどさ」
1873666704,0,17,True,0,sound/data/pcm/c30/adv/14.unity3d,adv_ev_30_163
1281674342,0,16,False,[H名],「なにかしら？」
-1324561401,0,16,False,[P名],「うん、あのね、俺達ずーっとストレッチしてない？　もう結構な時間、二人で伸ばし合ってるよ？」
1873666707,0,19,True,0,照れ顔
1873666708,0,18,True,0,Stand_Oth_00
1873666709,0,17,True,0,,adv_ev_30_164
-1963679833,0,16,False,[H名],「あっ……え、えっと……あはは、ごめんなさい。キミとくっついたら離れたくなくなっちゃって……だって……幸せなんですもの……」
-1090751301,0,16,False,[P名],「あ……そ、それは……そうかも。こうしてると俺もその……[H名]の温かさとか柔らかさとか伝わってきて……」
1873666712,0,19,True,0,ドキドキ
1873666713,0,18,True,0,Stand_Sat_02
1873666714,0,17,True,0,,adv_ev_30_165
1067562146,0,16,False,[H名],「待って待って、それ以上言っちゃダメよ！　そうじゃないとっ……私……ドキドキして何も出来なくなっちゃうっ……」
1873666716,0,19,True,0,照れ顔
1873666717,0,18,True,0,Stand_Joy_04
1873666718,0,17,True,0,,adv_ev_30_166
-207861699,0,16,False,[H名],「や、やっぱり体育館なんだし、健全に汗を流さなきゃダメよね。うん、さ、頑張りましょう」
1873666720,0,45,False,FALSE
1873666721,0,44,False,in,,,,none
1873666722,0,1,True,System.Int32,jumpNo01,76
1873666723,0,21,False,,78,FALSE,TRUE,TRUE
